# firmware	category	id	title	summary	command template	risk
# Angle-bracket values are required fields. Square-bracket values are optional fields.
bruce	Wi-Fi	bruce-sniffer	Wi-Fi sniffer	Start the firmware Wi-Fi packet sniffer.	sniffer	safe
bruce	GPIO	bruce-gpio-mode	Set GPIO mode	Set a GPIO pin mode.	gpio mode <pin_and_mode>	safe
bruce	GPIO	bruce-gpio-write	Write GPIO	Set a GPIO pin output value.	gpio set <pin_and_value>	safe
bruce	GPIO	bruce-gpio-read	Read GPIO	Read a GPIO pin.	gpio read <pin>	safe
bruce	Infrared	bruce-ir-receive	Receive infrared	Listen for an infrared signal.	ir rx [raw]	safe
bruce	Infrared	bruce-ir-send	Send decoded infrared	Transmit an infrared protocol command.	ir tx <protocol> <address> <command>	active
bruce	Infrared	bruce-ir-send-raw	Send raw infrared	Transmit raw infrared timing samples.	ir tx_raw <frequency_hz> <samples...>	active
bruce	Infrared	bruce-ir-file	Send infrared file	Transmit infrared data from a stored file.	ir tx_from_file <file_path> [hide_ui]	active
bruce	RF	bruce-rf-receive	Receive sub-GHz	Listen for sub-GHz signals with an optional timeout.	rf rx [timeout_ms]	safe
bruce	RF	bruce-rf-receive-raw	Receive raw sub-GHz	Listen for raw sub-GHz samples.	rf rx raw [timeout_ms]	safe
bruce	RF	bruce-rf-send	Send sub-GHz key	Transmit a raw sub-GHz key.	rf tx <key> [frequency_hz] [pulse_length] [repeat_count]	active
bruce	RF	bruce-rf-protocol	Send sub-GHz protocol	Transmit with a named protocol.	rf txp <protocol> [frequency_hz] [bits] [key] [pulse_length] [repeat_count]	active
bruce	RF	bruce-rf-scan	Scan sub-GHz range	Scan a frequency range for activity.	rf scan <start_frequency_hz> <stop_frequency_hz>	safe
bruce	RF	bruce-rf-file	Send sub-GHz file	Transmit a stored sub-GHz capture.	rf tx_from_file <file_path> [hide_ui]	active
bruce	RF	bruce-rf-keeloq	Send KeeLoq frame	Transmit a KeeLoq frame using supplied manufacturer and counter values.	rf keeloqtx <manufacturer> [frequency_hz] [button] [serial] [counter] [repeat_count]	active
bruce	RF	bruce-rf-mf-add	Add manufacturer code	Add an entry to the RF manufacturer-code list.	rf mfcodes add <entry>	safe
bruce	RF	bruce-rf-mf-list	List manufacturer codes	List stored RF manufacturer codes.	rf mfcodes list	safe
bruce	RF	bruce-rf-mf-clear	Clear manufacturer codes	Clear stored RF manufacturer codes.	rf mfcodes clear	safe
bruce	RFID	bruce-rfid-read	Read RFID or NFC	Read a supported tag with a timeout.	rfid read [timeout_ms]	safe
bruce	RFID	bruce-rfid-write	Write RFID or NFC	Write prepared data to a supported tag.	rfid write [timeout_ms]	safe
bruce	RFID	bruce-rfid-clone	Clone RFID or NFC	Read and clone a supported tag.	rfid clone [timeout_ms]	safe
bruce	RFID	bruce-rfid-emulate	Emulate tag	Emulate a prepared RFID or NFC tag.	rfid emulate [options]	safe
bruce	RFID	bruce-rfid-erase	Erase tag	Erase a supported writable tag.	rfid erase	safe
bruce	RFID	bruce-rfid-info	Tag information	Show the currently loaded RFID or NFC data.	rfid info	safe
bruce	RFID	bruce-rfid-save	Save tag data	Save the current tag data to a file.	rfid save [file_name] [format]	safe
bruce	RFID	bruce-rfid-load	Load tag file	Load RFID or NFC data from a file.	rfid loadfile <file_path>	safe
bruce	RFID	bruce-rfid-ndef	NDEF operation	Run an NDEF subcommand with its values.	rfid ndef [options]	safe
bruce	RFID	bruce-rfid-reset	Reset RFID module	Reset the RFID or NFC subsystem.	rfid reset	safe
bruce	RFID	bruce-rfid-test	RFID self-test	Run a tag workflow self-test.	rfid autotest [mode] [timeout_ms]	safe
bruce	Storage	bruce-list-files	List files	List a directory on the device storage.	ls [file_path]	safe
bruce	Storage	bruce-read-file	Read file	Print a stored file.	cat <file_path>	safe
bruce	Storage	bruce-file-md5	File MD5	Calculate a file MD5 digest.	md5 <file_path>	safe
bruce	Storage	bruce-file-crc32	File CRC32	Calculate a file CRC32 checksum.	crc32 <file_path>	safe
bruce	Storage	bruce-remove-file	Remove file	Delete a file from device storage.	rm <file_path>	review
bruce	Storage	bruce-make-directory	Create directory	Create a storage directory.	mkdir <file_path>	review
bruce	Storage	bruce-remove-directory	Remove directory	Delete a storage directory.	rmdir <file_path>	review
bruce	Storage	bruce-storage-write	Write text file	Send text from the app and save it at a virtual-SD path.	storage write <file_path>	review
bruce	Storage	bruce-storage-rename	Rename file	Rename a stored file or directory.	storage rename <file_path> <new_name>	review
bruce	Storage	bruce-storage-copy	Copy file	Copy a stored file or directory.	storage copy <file_path> <new_name>	review
bruce	Storage	bruce-storage-stat	File information	Show detailed storage information for a path.	storage stat <file_path>	safe
bruce	Storage	bruce-storage-free	Storage capacity	Show capacity for a storage type.	storage free <storage_type>	safe
bruce	Scripts	bruce-javascript-file	Run JavaScript file	Run a Bruce JavaScript file.	js run_from_file <file_path>	safe
bruce	Scripts	bruce-javascript-stop	Stop JavaScript	Exit the JavaScript interpreter.	js exit	safe
bruce	Scripts	bruce-badusb-file	Run BadUSB file	Run a stored BadUSB script on supported USB hardware.	badusb run_from_file <file_path>	safe
bruce	Crypto	bruce-decrypt	Decrypt file	Decrypt a stored file.	decrypt <file_path> <password>	safe
bruce	Crypto	bruce-encrypt	Encrypt and save text	Send plaintext from the app and save its encrypted form at the output path.	encrypt <output_file> <password>	review
bruce	Crypto	bruce-type-decrypted	Type decrypted file	Decrypt and type a file through supported USB HID hardware.	crypto type_from_file <file_path> <password>	safe

marauder	System	marauder-help	Command help	List commands supported by this build.	help	safe
marauder	System	marauder-info	Device information	Show firmware and device information.	info	safe
marauder	System	marauder-settings	Show settings	Display current Marauder settings.	settings	safe
marauder	System	marauder-setting	Change setting	Enable or disable a named firmware setting.	settings -s <setting> <enable,disable>	review
marauder	System	marauder-reset-settings	Reset settings	Reset firmware settings.	settings -r	review
marauder	System	marauder-reboot	Restart device	Restart the device.	reboot	active
marauder	System	marauder-update-sd	Update from storage	Start a firmware update from storage.	update -s	active
marauder	System	marauder-update-web	Update from web	Start the firmware web-update flow.	update -w	active
marauder	System	marauder-channel-show	Show channel	Show the current Wi-Fi channel.	channel	safe
marauder	System	marauder-channel-set	Set channel	Set the Wi-Fi channel.	channel -s <channel>	review
marauder	Display	marauder-led-color	Set LED color	Set the status LED using a hex color.	led -s <hex_color>	safe
marauder	Display	marauder-led-rainbow	Rainbow LED	Run the LED rainbow pattern.	led -p rainbow	safe
marauder	Display	marauder-brightness	Set brightness	Set the display brightness level.	brightness -s <level_0_to_9>	safe
marauder	Display	marauder-brightness-cycle	Cycle brightness	Cycle to the next display brightness.	brightness -c cycle	safe
marauder	Storage	marauder-ls	List files	List a directory on device storage.	ls <directory>	safe
marauder	Storage	marauder-sd	Virtual SD command	Run a documented SD subcommand. Storage synchronization traffic is hidden from the console.	sd <options...>	safe
marauder	Storage	marauder-protocol-info	Migration protocol info	Show the versioned SPIFFS migration protocol and capabilities.	protocolinfo	safe
marauder	Storage	marauder-backup-spiffs	Back up SPIFFS	Create a transactional SPIFFS backup on device storage.	backupspiffs	review
marauder	Storage	marauder-backup-status	SPIFFS backup status	Inspect the active SPIFFS backup without changing it.	backupstatus	safe
marauder	Storage	marauder-restore-spiffs	Restore SPIFFS	Replace SPIFFS from the active backup and reboot after success.	restorespiffs	active
marauder	GPS	marauder-gpsdata	GPS data	Show raw GPS data.	gpsdata	safe
marauder	GPS	marauder-nmea	NMEA stream	Start NMEA output.	nmea	safe
marauder	GPS	marauder-gps-field	GPS field	Show a selected GPS field.	gps -g <fix,sat,lon,lat,alt,date,accuracy,text,nmea>	safe
marauder	GPS	marauder-gps-constellation	GPS constellation	Select the reported satellite constellation.	gps -n <native,all,gps,glonass,galileo,navic,qzss,beidou>	safe
marauder	GPS	marauder-gps-poi-save	Save GPS point	Save the current location as a point of interest.	gpspoi -s	safe
marauder	GPS	marauder-gps-poi-mark	Mark GPS point	Mark a point of interest while scanning.	gpspoi -m	safe
marauder	GPS	marauder-gps-poi-end	End GPS point mode	Stop the point-of-interest operation.	gpspoi -e	safe
marauder	GPS	marauder-gps-tracker	GPS tracker	Start or stop GPS tracking.	gpstracker -c <start,stop>	safe
marauder	GPS	marauder-wardrive-poi-tag	Tag POI	Tag the current GPS position during an active wardrive.	wardrivepoi	safe
marauder	GPS	marauder-wardrive-poi	Wardrive point label	Tag a labeled GPS point during wardriving.	wardrivepoi <label>	safe
marauder	Wi-Fi Scan	marauder-scanall	Scan access points	Scan all Wi-Fi channels for access points.	scanall	safe
marauder	Wi-Fi Scan	marauder-sniffraw	Capture raw Wi-Fi	Capture raw Wi-Fi frames to PCAP.	sniffraw	safe
marauder	Wi-Fi Scan	marauder-sniffbeacon	Capture beacons	Capture Wi-Fi beacon frames.	sniffbeacon	safe
marauder	Wi-Fi Scan	marauder-sniffprobe	Capture probes	Capture Wi-Fi probe requests.	sniffprobe	safe
marauder	Wi-Fi Scan	marauder-sniffpwn	Capture Pwnagotchi	Capture Pwnagotchi advertisements.	sniffpwn	safe
marauder	Wi-Fi Scan	marauder-sniffpinescan	Capture PineAP	Capture PineAP activity.	sniffpinescan	safe
marauder	Wi-Fi Scan	marauder-sniffmultissid	Capture multi-SSID	Capture multi-SSID advertisements.	sniffmultissid	safe
marauder	Wi-Fi Scan	marauder-sniffdeauth	Capture deauthentication	Capture deauthentication frames.	sniffdeauth	safe
marauder	Wi-Fi Scan	marauder-sniffpmkid	Capture PMKID	Capture PMKID handshakes with optional settings.	sniffpmkid [options]	safe
marauder	Wi-Fi Scan	marauder-sniffsae	Capture SAE	Capture WPA3 SAE exchanges.	sniffsae	safe
marauder	Wi-Fi Scan	marauder-stopscan	Stop current operation	Stop the active scan or capture.	stopscan	safe
marauder	Wi-Fi Scan	marauder-stopscan-force	Force stop	Force stop the active scan or capture.	stopscan -f	safe
marauder	Wi-Fi Scan	marauder-packetcount	Packet counters	Show live packet counts.	packetcount	safe
marauder	Wi-Fi Scan	marauder-foxhunt-ap	Track access point	Track signal strength for an access point index.	foxhunt -w <ap_index>	safe
marauder	Wi-Fi Scan	marauder-foxhunt-station	Track station	Track signal strength for a station associated with an access point.	foxhunt -s <ap_index> <station_index>	safe
marauder	Wi-Fi Scan	marauder-foxhunt-ble	Track BLE device	Track signal strength for a BLE device index.	foxhunt -b <ble_index>	safe
marauder	Wi-Fi Scan	marauder-wardrive	Wardrive	Start Wi-Fi wardriving and save results.	wardrive	safe
marauder	Network	marauder-ping	Ping scan	Scan local hosts with ICMP ping.	pingscan	safe
marauder	Network	marauder-portscan-target	Port scan target	Scan ports on a selected IP result.	portscan -a -t <ip_index>	safe
marauder	Network	marauder-portscan-service	Service scan	Scan for a common network service.	portscan -s <ssh,telnet,dns,http,smtp,https,rdp>	safe
marauder	Network	marauder-arp	ARP scan	Scan the local network using ARP.	arpscan	safe
marauder	Network	marauder-arp-force	Force ARP scan	Start an ARP scan even if previous state remains.	arpscan -f	safe
marauder	Network	marauder-mactrack	Track MAC	Track a selected MAC address.	mactrack	safe
marauder	Lists	marauder-list-aps	List access points	Show scanned access points.	list -a	safe
marauder	Lists	marauder-list-stations	List stations	Show scanned Wi-Fi stations.	list -c	safe
marauder	Lists	marauder-list-ssids	List SSIDs	Show the SSID list.	list -s	safe
marauder	Lists	marauder-list-targets	List targets	Show selected targets.	list -t	safe
marauder	Lists	marauder-list-ips	List IPs	Show discovered IP addresses.	list -i	safe
marauder	Lists	marauder-list-probes	List probe requests	Show captured probe-request SSIDs and their indices for Karma.	list -p	safe
marauder	Lists	marauder-list-ble	List BLE	Show scanned Bluetooth devices.	list -b	safe
marauder	Lists	marauder-list-findmy	List Find My	Show Find My devices.	list -f	safe
marauder	Lists	marauder-list-flippers	List Flippers	Show detected Flipper devices.	list -x	safe
marauder	Lists	marauder-list-multissid	List multi-SSID	Show multi-SSID devices.	list -m	safe
marauder	Lists	marauder-clear-aps	Clear access points	Clear the access-point list.	clearlist -a	safe
marauder	Lists	marauder-clear-ssids	Clear SSIDs	Clear the SSID list.	clearlist -s	safe
marauder	Lists	marauder-clear-stations	Clear stations	Clear the station list.	clearlist -c	safe
marauder	Lists	marauder-select-ap	Select access points	Select one or more access-point indices.	select -a <indices>	safe
marauder	Lists	marauder-select-station	Select station	Select a station index.	select -c <index>	safe
marauder	Lists	marauder-select-ssid	Select SSIDs	Select one or more SSID indices.	select -s <indices>	safe
marauder	Lists	marauder-select-filter	Select by filter	Select items whose value equals or contains text.	select -f <filter_expression...>	safe
marauder	Lists	marauder-ap-info	Access point details	Show details for an access-point index.	info -a <index>	safe
marauder	Profiles	marauder-ssid-generate	Generate SSIDs	Add generated SSIDs to the list.	ssid -a -g <count>	safe
marauder	Profiles	marauder-ssid-add	Add SSID	Add a named SSID to the list.	ssid -a -n <name>	safe
marauder	Profiles	marauder-ssid-remove	Remove SSID	Remove an SSID by index.	ssid -r <index>	safe
marauder	Profiles	marauder-save-aps	Save access points	Save the current access-point list.	save -a	safe
marauder	Profiles	marauder-save-ssids	Save SSIDs	Save the current SSID list to virtual SD.	save -s	safe
marauder	Profiles	marauder-load-aps	Load access points	Load a saved access-point list.	load -a	safe
marauder	Profiles	marauder-load-ssids	Load SSIDs	Load a saved SSID list.	load -s	safe
marauder	Network	marauder-join	Join selected network	Join a selected access point using a password.	join -a <ap_index> -p <password>	safe
marauder	Network	marauder-join-saved	Join saved network	Join using the Wi-Fi credentials saved in Marauder settings.	join -s	safe
marauder	Identity	marauder-random-ap-mac	Randomize AP MAC	Randomize the access-point MAC address.	randapmac	safe
marauder	Identity	marauder-random-sta-mac	Randomize station MAC	Randomize the station MAC address.	randstamac	safe
marauder	Identity	marauder-clone-ap-mac	Clone AP MAC	Clone an access-point MAC address by AP index.	cloneapmac -a <index>	safe
marauder	Identity	marauder-clone-sta-mac	Clone station MAC	Clone a station MAC address by station index.	clonestamac -s <index>	safe
marauder	Lists	marauder-add-ap	Add access point	Add an access point manually.	add -a -b <mac_address> -ch <channel> -e <ssid>	safe
marauder	Lists	marauder-add-station	Add station	Add a station manually and associate it with an AP index.	add -c -b <mac_address> -ap <ap_index>	safe
marauder	Cloud	marauder-upload	Upload wardrive data	Upload wardrive results to a configured destination.	upload -d <wdg,wigle,both>	safe
marauder	Bluetooth	marauder-sniffbt	Scan Bluetooth	Scan for nearby Bluetooth devices.	sniffbt	safe
marauder	Bluetooth	marauder-sniffbt-type	Scan Bluetooth type	Scan for a specific Bluetooth advertiser type.	sniffbt -t <airtag,flipper,flock,meta>	safe
marauder	Bluetooth	marauder-findmy	Track Find My device	Track a selected Find My device.	findmy -t <index>	safe
marauder	Bluetooth	marauder-spoof-airtag	Spoof AirTag	Transmit as a selected AirTag.	spoofat -t <index>	safe
marauder	Bluetooth	marauder-sniff-skimmer	Scan for skimmers	Scan BLE advertisements for common skimmer signatures.	sniffskim	safe
marauder	Bluetooth	marauder-ble-spam	BLE advertisement test	Transmit the selected BLE advertisement test pattern.	blespam -t <sourapple,applejuice,google,samsung,windows,flipper,all>	safe
marauder	Portal	marauder-evilportal-start	Start portal	Start the configured captive portal. Use Set portal HTML first to choose a stored page.	evilportal -c start	safe
marauder	Portal	marauder-evilportal-html	Set portal HTML	Select a stored HTML file for the portal.	evilportal -c sethtml <html_file>	safe
marauder	Portal	marauder-karma	Karma test	Start a Karma test using an index from captured probe requests (run sniffprobe, stopscan, then list -p).	karma -p <probe_index>	safe
marauder	Attack	marauder-attack	Wireless test action	Run a selected Marauder wireless test action against explicitly selected targets.	attack -t <quiet,csa,sae,beacon,deauth,probe,rickroll,badmsg,sleep>	safe

ghostesp	System	ghost-help	Command help	Show command help, optionally for a category.	help [category]	safe
ghostesp	System	ghost-version	Version	Show firmware, build, git, and IDF versions.	version	safe
ghostesp	System	ghost-chipinfo	Chip information	Show chip, flash, memory, and build details.	chipinfo	safe
ghostesp	System	ghost-status	System status	Show a system summary.	status	safe
ghostesp	System	ghost-uuid	Device UUID	Show the stable device UUID.	uuid	safe
ghostesp	System	ghost-macaddr	MAC address	Show stable device identifiers.	macaddr	safe
ghostesp	System	ghost-uptime	Uptime	Show device uptime.	uptime	safe
ghostesp	System	ghost-date	Date and time	Show the current time.	date	safe
ghostesp	System	ghost-time	Time	Show the current time.	time	safe
ghostesp	System	ghost-whoami	Device identity	Show the current device identity.	whoami	safe
ghostesp	System	ghost-mem	Memory	Show memory usage.	mem	safe
ghostesp	System	ghost-ps	Tasks	Show FreeRTOS task information.	ps	safe
ghostesp	System	ghost-top	Task monitor	Show FreeRTOS task information.	top	safe
ghostesp	System	ghost-reboot	Restart device	Restart the device.	reboot	active
ghostesp	System	ghost-clear	Clear terminal	Clear an ANSI terminal display.	clear	safe
ghostesp	System	ghost-crash	Crash diagnostic	Deliberately trigger a crash for diagnostic testing.	crash	active
ghostesp	System	ghost-coredump	Core dump status	Show the saved core-dump summary.	coredump	safe
ghostesp	System	ghost-coredump-dump	Print core dump	Print a saved core dump.	coredump dump	safe
ghostesp	System	ghost-coredump-erase	Erase core dump	Erase the saved core dump.	coredump erase	review
ghostesp	Shell	ghost-echo	Echo text	Print text through the device shell.	echo <text...>	safe
ghostesp	Shell	ghost-hostname	Show hostname	Show the prompt hostname.	hostname	safe
ghostesp	Shell	ghost-hostname-set	Set hostname	Set the prompt hostname.	hostname <name>	review
ghostesp	Shell	ghost-color	Prompt color	Set the ANSI prompt color.	color <color_or_off>	safe
ghostesp	Shell	ghost-cli-color	Prompt color alias	Set the ANSI prompt color using the compatibility command.	cli_color <color_or_off>	safe
ghostesp	Shell	ghost-banner	Boot banner	Control the boot banner.	banner <on,off,status>	safe
ghostesp	Shell	ghost-alias	Create shortcut	Create a persistent firmware command shortcut.	alias <name> <command...>	safe
ghostesp	Shell	ghost-unalias	Remove shortcut	Remove a saved firmware command shortcut.	unalias <name_or_all>	safe
ghostesp	Shell	ghost-history	Command history	Show firmware command history.	history	safe
ghostesp	Shell	ghost-history-clear	Clear history	Clear firmware command history.	history -c	safe
ghostesp	Shell	ghost-didyoumean	Command suggestions	Control command spelling suggestions.	didyoumean [options]	safe
ghostesp	Shell	ghost-env	Environment	Show saved shell variables.	env	safe
ghostesp	Shell	ghost-export	Set variable	Persist a shell variable.	export <name_and_value>	safe
ghostesp	Shell	ghost-watch	Repeat command	Repeat a command at an interval.	watch <seconds> <command...>	safe
ghostesp	Shell	ghost-watch-stop	Stop repeat	Stop the active watch command.	watch stop	safe
ghostesp	Storage	ghost-df	Storage usage	Show mounted storage usage.	df	safe
ghostesp	Storage	ghost-tail	Tail file	Print the end of a stored file.	tail <file_path> [line_count]	safe
ghostesp	Storage	ghost-grep	Search file	Filter a stored file by a text pattern.	grep <pattern> <file_path>	safe
ghostesp	Storage	ghost-source	Run command file	Run CLI commands from a stored file.	source <file_path>	safe
ghostesp	Storage	ghost-tee	Append text file	Append text to a stored file and echo it.	tee <file_path> <text...>	safe
ghostesp	Storage	ghost-sd-status	SD status	Show virtual or physical SD status and capacity.	sd status	safe
ghostesp	Storage	ghost-sd-list	List files	List files and directories.	sd list [file_path]	safe
ghostesp	Storage	ghost-sd-info	File information	Show file or directory details.	sd info <index_or_path>	safe
ghostesp	Storage	ghost-sd-size	File size	Show a file size.	sd size <index_or_path>	safe
ghostesp	Storage	ghost-sd-read	Read file	Read a range from a file.	sd read <index_or_path> [offset] [length]	safe
ghostesp	Storage	ghost-sd-write	Write file	Create or overwrite a file from base64 data.	sd write <file_path> <base64_data...>	review
ghostesp	Storage	ghost-sd-append	Append file	Append base64 data to a file.	sd append <file_path> <base64_data...>	review
ghostesp	Storage	ghost-sd-mkdir	Create directory	Create a storage directory.	sd mkdir <file_path>	review
ghostesp	Storage	ghost-sd-remove	Remove file	Delete a file or empty directory.	sd rm <index_or_path>	review
ghostesp	Storage	ghost-sd-tree	Storage tree	Show a recursive storage listing.	sd tree [file_path] [depth]	safe
ghostesp	Storage	ghost-sd-config	SD pin configuration	Show current SD GPIO configuration.	sd_config	safe
ghostesp	Storage	ghost-sd-mmc	Set SDMMC pins	Configure SDMMC pins.	sd_pins_mmc <clk_pin> <cmd_pin> <d0_pin> <d1_pin> <d2_pin> <d3_pin>	safe
ghostesp	Storage	ghost-sd-spi	Set SD SPI pins	Configure SPI SD pins.	sd_pins_spi <cs_pin> <clk_pin> <miso_pin> <mosi_pin>	safe
ghostesp	Storage	ghost-sd-save	Save SD configuration	Save SD pin configuration to NVS.	sd_save_config	safe
ghostesp	Wi-Fi	ghost-ifconfig	Network interfaces	Show STA, AP, and Ethernet interfaces.	ifconfig	safe
ghostesp	Wi-Fi	ghost-scanap	Scan access points	Scan for Wi-Fi access points.	scanap [seconds]	safe
ghostesp	Wi-Fi	ghost-scansta	Scan stations	Scan for Wi-Fi stations.	scansta	safe
ghostesp	Wi-Fi	ghost-scanlocal	Look up local IPs	Discover local network hosts.	scanlocal [options]	safe
ghostesp	Wi-Fi	ghost-stopscan	Stop scan	Stop the active Wi-Fi scan.	stopscan	safe
ghostesp	Wi-Fi	ghost-scanall	Wi-Fi and BLE scan	Run combined Wi-Fi and BLE scanning.	scanall [seconds]	safe
ghostesp	Wi-Fi	ghost-sweep	Environment sweep	Run a timed Wi-Fi and BLE environment sweep.	sweep [options]	safe
ghostesp	Wi-Fi	ghost-list-aps	List access points	List scanned Wi-Fi access points.	list -a	safe
ghostesp	Wi-Fi	ghost-list-stations	List stations	List scanned Wi-Fi stations.	list -s	safe
ghostesp	Wi-Fi	ghost-select-ap	Select access points	Select one or more access-point indices.	select -a <indices>	safe
ghostesp	Wi-Fi	ghost-select-station	Select station	Select a station index.	select -s <index>	safe
ghostesp	Wi-Fi	ghost-connect	Connect to Wi-Fi	Connect to a Wi-Fi network.	connect <ssid> [password]	safe
ghostesp	Wi-Fi	ghost-disconnect	Disconnect Wi-Fi	Disconnect the station interface.	disconnect	safe
ghostesp	Wi-Fi	ghost-wifistatus	Wi-Fi status	Show current Wi-Fi state.	wifistatus	safe
ghostesp	Wi-Fi	ghost-autoreconnect	Auto reconnect	Enable or disable Wi-Fi auto reconnect.	autoreconnect <on,off>	safe
ghostesp	Wi-Fi	ghost-apcred	Set AP credentials	Set the GhostNet access-point name and password.	apcred <ssid> <password>	safe
ghostesp	Wi-Fi	ghost-apenable	Access point state	Enable or disable the device access point.	apenable <on,off>	safe
ghostesp	Wi-Fi	ghost-ping	Ping host	Send ICMP echo requests.	ping <host> [count]	safe
ghostesp	Wi-Fi	ghost-congestion	Channel congestion	Measure Wi-Fi channel congestion.	congestion	safe
ghostesp	Wi-Fi	ghost-listenprobes	Listen for probes	Listen for Wi-Fi probe requests on an optional channel.	listenprobes [channel]	safe
ghostesp	Wi-Fi	ghost-listenprobes-stop	Stop probe listener	Stop listening for Wi-Fi probes.	listenprobes stop	safe
ghostesp	Wi-Fi	ghost-wpa3check	WPA3 check	Check selected access points for WPA3 behavior.	wpa3check	safe
ghostesp	Wi-Fi	ghost-pineap	PineAP detection	Detect PineAP behavior.	pineap [options]	safe
ghostesp	Wi-Fi	ghost-trackap	Track access point	Track a selected access point.	trackap [options]	safe
ghostesp	Wi-Fi	ghost-tracksta	Track station	Track a selected Wi-Fi station.	tracksta [options]	safe
ghostesp	Network	ghost-scanports	Port scan	Scan ports on a local or specified target.	scanports <target_or_local>	safe
ghostesp	Network	ghost-scanarp	ARP scan	Scan the local network with ARP.	scanarp	safe
ghostesp	Network	ghost-scanssh	SSH scan	Scan the local network for SSH services.	scanssh	safe
ghostesp	Network	ghost-netbios	NetBIOS scan	Scan the local network for NetBIOS services.	netbiosscan	safe
ghostesp	Network	ghost-http-banner	HTTP banner scan	Collect HTTP service banners.	httpbannerscan	safe
ghostesp	Network	ghost-snmp	SNMP probe	Probe local devices for SNMP.	snmpprobe	safe
ghostesp	Network	ghost-enumscan	Enumeration scan	Run a configured network enumeration scan.	enumscan [options]	safe
ghostesp	Wi-Fi	ghost-webauth	Web authentication	Control Web UI authentication.	webauth <on,off,toggle,status>	safe
ghostesp	Wi-Fi	ghost-webuiap	Web UI AP	Control the Web UI access point.	webuiap [options]	safe
ghostesp	Settings	ghost-settings	Settings	Run a settings subcommand.	settings <operation> [arguments...]	safe
ghostesp	Settings	ghost-timezone	Timezone	Set the device timezone string.	timezone <timezone_string>	safe
ghostesp	Settings	ghost-settime	Set time	Set the device date and time.	settime <date_time...>	safe
ghostesp	Settings	ghost-setcountry	Set radio country	Set the two-letter regulatory country code on supported hardware.	setcountry <country_code>	safe
ghostesp	Settings	ghost-loadconfig	Load configuration	Load a saved configuration.	loadconfig <file_path>	safe
ghostesp	Settings	ghost-statusidle	Idle display	List or set the idle-display animation.	statusidle [options]	safe
ghostesp	Wi-Fi Test	ghost-attack-deauth	Deauthentication test	Run the selected deauthentication test.	attack -d	safe
ghostesp	Wi-Fi Test	ghost-attack-handshake	Handshake capture test	Run handshake capture with deauthentication on selected targets.	attack -hsd	safe
